ItemName,ItemID,BasePrice,SellPrice,PriceCoefficient,Weight,Width,Height,InventorySize,CategoryID,SubcategoryID,ShopName,PriceSource,StackCapacity,VisualName,CatalogVisualPath,IconVisualName,CatalogIconPath,DroppedVisualName,CatalogDroppedPath
.224 B-III,330eff42-da2c-4849-aa99-6662b25e3fb0,28,28,1.00,0.008,1,1,1,30,24,None (default),Repository TextAsset,60,Ammo/Boxes/BoxAmmo_0224AP.prefab,,,,Ammo/Boxes/BoxAmmo_0224AP.prefab,
.224 C-II,7423b00d-5846-4961-ab37-cd4cf43444f0,19,19,1.00,0.007,1,1,1,30,25,None (default),Repository TextAsset,60,Ammo/Boxes/BoxAmmo_0224HP.prefab,,,,Ammo/Boxes/BoxAmmo_0224HP.prefab,
.224 C-III,4b8420e7-3115-4227-b650-cae40238052d,29,29,1.00,0.008,1,1,1,30,25,None (default),Repository TextAsset,60,Ammo/Boxes/BoxAmmo_0224HP.prefab,,,,Ammo/Boxes/BoxAmmo_0224HP.prefab,
.224 E,bab13c85-c6ca-4378-a31d-8d2e1c8b4313,40,40,1.00,0.005,1,1,1,3,25,None (default),Repository TextAsset,30,Ammo/Ammo_224EXP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Ammo_224EXP.prefab,,,Ammo/Boxes/BoxAmmo_224HP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_224HP.prefab
.300,752e4ba1-1109-4ee0-88c6-195dd6d088e2,40,40,1.00,0.04,1,1,1,3,,None (default),Repository TextAsset,20,Ammo/Ammo_300_Magnum.prefab,Assets/Prefabs/Items/Weapons/Ammo/Ammo_300_Magnum.prefab,,,Ammo/Boxes/BoxAmmo_300Reg.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_300Reg.prefab
.300 A-II,6b0f7f50-7b29-462c-9914-0539ce80c5a7,40,40,1.00,0.014,2,2,4,30,,None (default),Repository TextAsset,20,Ammo/Boxes/BoxAmmo_300Reg.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_300Reg.prefab,,,Ammo/Boxes/BoxAmmo_300Reg.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_300Reg.prefab
.300 A-III,c35c959e-73a5-4ca2-b06e-f39621c7866b,60,60,1.00,0.015,2,2,4,30,,None (default),Repository TextAsset,20,Ammo/Boxes/BoxAmmo_300Reg.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_300Reg.prefab,,,Ammo/Boxes/BoxAmmo_300Reg.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_300Reg.prefab
.300 AP,2c82b4f8-4b5a-4c5a-a8e8-0d23b1cfb8f3,60,60,1.00,0.08,1,1,1,3,24,None (default),Repository TextAsset,20,Ammo/Ammo_300_MagnumAP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Ammo_300_MagnumAP.prefab,,,Ammo/Boxes/BoxAmmo_300AP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_300AP.prefab
.300 B-II,ed8665e1-d585-448c-a2c4-bbf50de2ede3,70,70,1.00,0.016,2,2,4,30,24,None (default),Repository TextAsset,20,Ammo/Boxes/BoxAmmo_300AP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_300AP.prefab,,,Ammo/Boxes/BoxAmmo_300AP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_300AP.prefab
.300 B-III,27e111c0-0ace-4d6b-addc-db1afd0f391d,90,90,1.00,0.018,2,2,4,30,24,None (default),Repository TextAsset,20,Ammo/Boxes/BoxAmmo_300AP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_300AP.prefab,,,Ammo/Boxes/BoxAmmo_300AP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_300AP.prefab
.300 C-II,4e9fc1e4-4391-4f13-84e9-9daa69b0faf1,85,85,1.00,0.013,2,2,4,30,25,None (default),Repository TextAsset,20,Ammo/Boxes/BoxAmmo_300HP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_300HP.prefab,,,Ammo/Boxes/BoxAmmo_300HP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_300HP.prefab
.300 C-III,4e82b56d-00e6-48e0-bdbe-789d8c63b583,110,110,1.00,0.014,2,2,4,30,25,None (default),Repository TextAsset,20,Ammo/Boxes/BoxAmmo_300HP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_300HP.prefab,,,Ammo/Boxes/BoxAmmo_300HP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_300HP.prefab
.300 E,61f597b1-45d4-4ec6-b68c-e17cc20b6200,80,80,1.00,0.025,1,1,1,3,25,None (default),Repository TextAsset,20,Ammo/Boxes/BoxAmmo_300HP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_300HP.prefab,,,Ammo/Boxes/BoxAmmo_300HP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_300HP.prefab
.300 WinMag supressor,6fade111-f653-462f-9961-adc92ae52b7d,50000,50000,1.00,0.212,2,1,2,20,9,None (default),Repository TextAsset,,Weapons/Modules/Suppressors/Suppressor_01/Suppressor_01.prefab,Assets/Prefabs/Items/Weapons/Modules/Suppressors/Suppressor_01/Suppressor_01.prefab,Weapons/Modules/Suppressors/Suppressor_01/Suppressor_01_GUI.prefab,Assets/Prefabs/Items/Weapons/Modules/Suppressors/Suppressor_01/Suppressor_01_GUI.prefab,Weapons/Modules/Suppressors/Suppressor_01/Suppressor_01_Dropped.prefab,Assets/Prefabs/Items/Weapons/Modules/Suppressors/Suppressor_01/Suppressor_01_Dropped.prefab
.45 ACP A-II,1bebc677-be94-4fa0-8584-67a3b5d6c733,10,10,1.00,0.017,1,1,1,30,,None (default),Repository TextAsset,60,Ammo/Boxes/BoxAmmo_45Reg.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_45Reg.prefab,,,Ammo/Boxes/BoxAmmo_45Reg.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_45Reg.prefab
.45 ACP A-III,2fd2b40c-8e3e-46e6-9a82-dd932e56026a,14,14,1.00,0.019,1,1,1,30,,None (default),Repository TextAsset,60,Ammo/Boxes/BoxAmmo_45Reg.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_45Reg.prefab,,,Ammo/Boxes/BoxAmmo_45Reg.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_45Reg.prefab
.45 ACP B-II,7c0136f1-6b40-4bfb-875a-3264ce61a4b2,15,15,1.00,0.018,1,1,1,30,24,None (default),Repository TextAsset,60,Ammo/Boxes/BoxAmmo_45AP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_45AP.prefab,,,Ammo/Boxes/BoxAmmo_45AP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_45AP.prefab
.45 ACP B-III,a473af76-a91c-49bd-8924-b61f093447d6,21,21,1.00,0.02,1,1,1,30,24,None (default),Repository TextAsset,60,Ammo/Boxes/BoxAmmo_45AP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_45AP.prefab,,,Ammo/Boxes/BoxAmmo_45AP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_45AP.prefab
.45 ACP C-II,473ed7dc-51e7-4a72-be4e-5dabb575f399,22,22,1.00,0.014,1,1,1,30,25,None (default),Repository TextAsset,60,Ammo/Boxes/BoxAmmo_45HP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_45HP.prefab,,,Ammo/Boxes/BoxAmmo_45HP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_45HP.prefab
.45 ACP C-III,a6ed8dfd-fd2f-471c-8845-cc5ebd6a1dac,28,28,1.00,0.017,1,1,1,30,25,None (default),Repository TextAsset,60,Ammo/Boxes/BoxAmmo_45HP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_45HP.prefab,,,Ammo/Boxes/BoxAmmo_45HP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_45HP.prefab
.45 ACP Tutorial ammo,a9c96f62-09d1-4429-96d6-8667009bb757,0,0,1.00,100,1,1,1,,,None (default),Repository TextAsset,60,Ammo/Boxes/BoxAmmo_45Reg.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_45Reg.prefab,,,Ammo/Boxes/BoxAmmo_45Reg.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_45Reg.prefab
.454,53b23ada-ed4e-4d6b-b28d-0ab912a39777,25,25,1.00,0.016,1,1,1,3,,02_Port_YellowVan_RaidShop,Repository TextAsset,20,Ammo/Ammo_454.prefab,Assets/Prefabs/Items/Weapons/Ammo/Ammo_454.prefab,,,Ammo/Boxes/BoxAmmo_454Reg.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_454Reg.prefab
.454 AP,8ce26d08-7026-4ec1-aa32-24dbf07994d6,38,38,1.00,0.032,1,1,1,3,24,None (default),Repository TextAsset,20,Ammo/Ammo_454AP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Ammo_454AP.prefab,,,Ammo/Boxes/BoxAmmo_454AP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_454AP.prefab
.45ACP,98e1e51b-4f8b-4512-bd34-2a37a0eb2930,12,12,1.00,0.012,1,1,1,3,,SIMPLESHOP01,Repository TextAsset,60,Ammo/Ammo_45_ACP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Ammo_45_ACP.prefab,,,Ammo/Boxes/BoxAmmo_45Reg.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_45Reg.prefab
.45ACP AP,394783c8-3fa6-4573-a154-fa52921eeb15,18,18,1.00,0.024,1,1,1,3,24,01_Warehouse_YellowVan_RaidShop,Repository TextAsset,60,Ammo/Ammo_45_ACPAP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Ammo_45_ACPAP.prefab,,,Ammo/Boxes/BoxAmmo_45AP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_45AP.prefab
.45ACP E,4ec3fa7f-f8a9-4fce-bcdd-efda2dbf0826,24,24,1.00,0.012,1,1,1,3,25,None (default),Repository TextAsset,60,Ammo/Boxes/BoxAmmo_45HP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_45HP.prefab,,,Ammo/Boxes/BoxAmmo_45HP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_45HP.prefab
.50BMG ,d257930e-de98-4295-8c77-ab1a026bec84,60,60,1.00,0.08,1,1,1,3,,None (default),Repository TextAsset,10,Ammo/Ammo_50bmg.prefab,Assets/Prefabs/Items/Weapons/Ammo/Ammo_50bmg.prefab,,,Ammo/Boxes/BoxAmmo_50bmg.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_50bmg.prefab
12x70,a9fa2bab-dd83-4a9d-9cb4-d02a9cfcdf39,15,15,1.00,0.04,1,1,1,3,,SIMPLESHOP01,Repository TextAsset,20,Ammo/Ammo_12_70.prefab,Assets/Prefabs/Items/Weapons/Ammo/Ammo_12_70.prefab,,,Ammo/Boxes/BoxAmmo_12Reg.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_12Reg.prefab
12x70 A-II,1445faf9-ad34-4bd3-b69f-4e7ceb295a26,15,15,1.00,0.045,2,1,2,30,,None (default),Repository TextAsset,20,Ammo/Boxes/BoxAmmo_12Reg.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_12Reg.prefab,,,Ammo/Boxes/BoxAmmo_12Reg.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_12Reg.prefab
12x70 A-III,42454c18-26b9-46c6-954c-c87b0e2f3841,30,30,1.00,0.05,2,1,2,30,,None (default),Repository TextAsset,20,Ammo/Boxes/BoxAmmo_12Reg.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_12Reg.prefab,,,Ammo/Boxes/BoxAmmo_12Reg.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_12Reg.prefab
12x70 AP,576d4cfc-3709-4c1a-89af-f2202dc78c93,22,22,1.00,0.08,1,1,1,3,24,None (default),Repository TextAsset,20,Ammo/Ammo_12_70AP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Ammo_12_70AP.prefab,,,Ammo/Boxes/BoxAmmo_12AP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_12AP.prefab
12x70 B-II,cd5f2a49-2270-4fa5-aa60-d8fdf285be5e,36,36,1.00,0.065,2,1,2,30,24,None (default),Repository TextAsset,20,Ammo/Boxes/BoxAmmo_12AP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_12AP.prefab,,,Ammo/Boxes/BoxAmmo_12AP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_12AP.prefab
12x70 B-III,48ac5d28-c6b3-45a7-b7e7-1ce275f1d5bb,42,42,1.00,0.07,2,1,2,30,24,None (default),Repository TextAsset,20,Ammo/Boxes/BoxAmmo_12AP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_12AP.prefab,,,Ammo/Boxes/BoxAmmo_12AP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_12AP.prefab
12x70 C-II,89a8900c-7689-4433-8116-fe3d009c7099,42,42,1.00,0.036,2,1,2,30,25,None (default),Repository TextAsset,20,Ammo/Boxes/BoxAmmo_12HP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_12HP.prefab,,,Ammo/Boxes/BoxAmmo_12HP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_12HP.prefab
12x70 C-III,e4f69f3b-cbfc-457f-b159-c2534aadf420,55,55,1.00,0.033,2,1,2,30,25,None (default),Repository TextAsset,20,Ammo/Boxes/BoxAmmo_12HP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_12HP.prefab,,,Ammo/Boxes/BoxAmmo_12HP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_12HP.prefab
12x70 E,0889e36b-fc18-499e-9894-3dfc6cc62a54,30,30,1.00,0.033,1,1,1,3,25,None (default),Repository TextAsset,20,Ammo/Boxes/BoxAmmo_12HP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_12HP.prefab,,,Ammo/Boxes/BoxAmmo_12HP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_12HP.prefab
12x70NL,1a527dd9-48bb-47b3-a7a7-e58d520237e0,15,15,1.00,0.04,1,1,1,3,101,None (default),Repository TextAsset,20,Ammo/Ammo_12_70NL.prefab,Assets/Prefabs/Items/Weapons/Ammo/Ammo_12_70NL.prefab,,,Ammo/Ammo_12_70NL.prefab,Assets/Prefabs/Items/Weapons/Ammo/Ammo_12_70NL.prefab
1A4M,42890513-9735-433e-a391-777ff7a6d95f,4800,4800,1.00,3.8,2,1,2,1,1,None (default),Repository TextAsset,,Weapons/Rifles/1A4M_Rifle.prefab,,Weapons/AssaultRifles/1A4M/GUI/1A4M_GUI.prefab,Assets/Prefabs/Items/Weapons/AssaultRifles/1A4M/GUI/1A4M_GUI.prefab,Weapons/AssaultRifles/1A4M/1A4M_Dropped.prefab,Assets/Prefabs/Items/Weapons/AssaultRifles/1A4M/1A4M_Dropped.prefab
1A4M barrel,a7c59e5f-4b6b-454f-82b7-07ad6de50780,3400,3400,1.00,0.33,3,1,3,20,12,None (default),Repository TextAsset,,Weapons/AssaultRifles/1A4M/1A4M_Barrel.prefab,Assets/Prefabs/Items/Weapons/AssaultRifles/1A4M/1A4M_Barrel.prefab,Weapons/AssaultRifles/1A4M/GUI/1A4M_Barrel_GUI.prefab,Assets/Prefabs/Items/Weapons/AssaultRifles/1A4M/GUI/1A4M_Barrel_GUI.prefab,Weapons/AssaultRifles/1A4M/1A4M_Barrel_Dropped.prefab,Assets/Prefabs/Items/Weapons/AssaultRifles/1A4M/1A4M_Barrel_Dropped.prefab
1A4M butt,d05f3198-c223-491e-aabf-cb7100c0fe23,2800,2800,1.00,1,2,1,2,20,11,None (default),Repository TextAsset,,Items/Weapons/Modules/1A4M_Butt.prefab,,Weapons/AssaultRifles/1A4M/GUI/1A4M_Butt_GUI.prefab,Assets/Prefabs/Items/Weapons/AssaultRifles/1A4M/GUI/1A4M_Butt_GUI.prefab,Weapons/AssaultRifles/1A4M/1A4M_Butt_Dropped.prefab,Assets/Prefabs/Items/Weapons/AssaultRifles/1A4M/1A4M_Butt_Dropped.prefab
1A4M drum mag,6f0a8140-6130-4931-b8a6-17215f7c16b5,10000,10000,1.00,1.5,2,2,4,20,7,None (default),Repository TextAsset,,Weapons/AssaultRifles/1A4M/1A4M_Magazine_2.prefab,Assets/Prefabs/Items/Weapons/AssaultRifles/1A4M/1A4M_Magazine_2.prefab,Weapons/AssaultRifles/1A4M/GUI/1A4M_Magazine_2_GUI.prefab,Assets/Prefabs/Items/Weapons/AssaultRifles/1A4M/GUI/1A4M_Magazine_2_GUI.prefab,Weapons/AssaultRifles/1A4M/1A4M_Magazine_2_Dropped.prefab,Assets/Prefabs/Items/Weapons/AssaultRifles/1A4M/1A4M_Magazine_2_Dropped.prefab
1A4M FH,e20ca3bf-fb8d-4a81-9182-6d792eb2c48a,1199,1199,1.00,0.125,1,1,1,20,14,None (default),Repository TextAsset,,Weapons/AssaultRifles/1A4M/1A4M_FlashHider.prefab,Assets/Prefabs/Items/Weapons/AssaultRifles/1A4M/1A4M_FlashHider.prefab,Weapons/AssaultRifles/1A4M/GUI/1A4M_FlashHider_GUI.prefab,Assets/Prefabs/Items/Weapons/AssaultRifles/1A4M/GUI/1A4M_FlashHider_GUI.prefab,Weapons/AssaultRifles/1A4M/1A4M_FlashHider_Dropped.prefab,Assets/Prefabs/Items/Weapons/AssaultRifles/1A4M/1A4M_FlashHider_Dropped.prefab
1A4M mag,b8e33705-d85f-4245-9b1b-93470b458146,2200,2200,1.00,0.1,1,2,2,20,7,None (default),Repository TextAsset,,Items/Weapons/Modules/1A4M_AmmoCase.prefab,,Weapons/AssaultRifles/1A4M/GUI/1A4M_Magazine_GUI.prefab,Assets/Prefabs/Items/Weapons/AssaultRifles/1A4M/GUI/1A4M_Magazine_GUI.prefab,Weapons/AssaultRifles/1A4M/1A4M_Magazine_Dropped.prefab,Assets/Prefabs/Items/Weapons/AssaultRifles/1A4M/1A4M_Magazine_Dropped.prefab
1A4M receiver,55d12426-6545-4f68-981a-31236c8cd0bd,4000,4000,1.00,0.62,3,1,3,20,13,None (default),Repository TextAsset,,Weapons/AssaultRifles/1A4M/1A4M_Receiver.prefab,Assets/Prefabs/Items/Weapons/AssaultRifles/1A4M/1A4M_Receiver.prefab,Weapons/AssaultRifles/1A4M/GUI/1A4M_Receiver_GUI.prefab,Assets/Prefabs/Items/Weapons/AssaultRifles/1A4M/GUI/1A4M_Receiver_GUI.prefab,Weapons/AssaultRifles/1A4M/1A4M_Receiver_Dropped.prefab,Assets/Prefabs/Items/Weapons/AssaultRifles/1A4M/1A4M_Receiver_Dropped.prefab
1A4M Sight,b250a7e6-5aa6-4659-9882-da69d43f2720,1600,1600,1.00,0.15,1,1,1,20,8,None (default),Repository TextAsset,,Weapons/Modules/1A4M_Scope_Default.prefab,,Weapons/AssaultRifles/1A4M/GUI/1A4M_Sight_Default_GUI.prefab,Assets/Prefabs/Items/Weapons/AssaultRifles/1A4M/GUI/1A4M_Sight_Default_GUI.prefab,Weapons/AssaultRifles/1A4M/1A4M_Sight_Default_Dropped.prefab,Assets/Prefabs/Items/Weapons/AssaultRifles/1A4M/1A4M_Sight_Default_Dropped.prefab
1A4M Trustshot suppressor,b4966a1d-a693-4c8f-b696-c58e7f5c6927,10000,10000,1.00,0.19,2,1,2,20,9,02_Port_YellowVan_RaidShop,Repository TextAsset,,Weapons/AssaultRifles/1A4M/1A4M_Trustshot_Suppressor.prefab,Assets/Prefabs/Items/Weapons/AssaultRifles/1A4M/1A4M_Trustshot_Suppressor.prefab,Weapons/AssaultRifles/1A4M/GUI/1A4M_Trustshot_Suppressor_GUI.prefab,Assets/Prefabs/Items/Weapons/AssaultRifles/1A4M/GUI/1A4M_Trustshot_Suppressor_GUI.prefab,Weapons/AssaultRifles/1A4M/1A4M_Trustshot_Suppressor_Dropped.prefab,Assets/Prefabs/Items/Weapons/AssaultRifles/1A4M/1A4M_Trustshot_Suppressor_Dropped.prefab
2Striper,b06d5c8a-2c7d-47d6-93ec-fd0937b7c579,182,182,1.00,1.2,2,1,2,17,61,None (default),Repository TextAsset,,Loot/TrackSuit/TrackSuit.prefab,Assets/Prefabs/Items/Loot/TrackSuit/TrackSuit.prefab,Loot/TrackSuit/TrackSuit_GUI.prefab,Assets/Prefabs/Items/Loot/TrackSuit/TrackSuit_GUI.prefab,,
5.45x39,a7721ae4-5bb3-4c09-8605-e18272b59ac6,16,16,1.00,0.015,1,1,1,3,,SIMPLESHOP01,Repository TextAsset,60,Ammo/Ammo_545x39.prefab,Assets/Prefabs/Items/Weapons/Ammo/Ammo_545x39.prefab,,,Ammo/Boxes/BoxAmmo_545x39Reg.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_545x39Reg.prefab
5.45x39 A-II,6ea5a413-f9d8-421a-8465-d3c8f8802c72,20,20,1.00,0.011,2,1,2,30,,None (default),Repository TextAsset,30,Ammo/Boxes/BoxAmmo_545x39Reg.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_545x39Reg.prefab,,,Ammo/Boxes/BoxAmmo_545x39Reg.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_545x39Reg.prefab
5.45x39 A-III,c06bca0a-f8f3-4af8-a9e1-26c15e62c443,30,30,1.00,0.012,2,1,2,30,,None (default),Repository TextAsset,30,Ammo/Boxes/BoxAmmo_545x39Reg.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_545x39Reg.prefab,,,Ammo/Boxes/BoxAmmo_545x39Reg.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_545x39Reg.prefab
5.45x39 AP,deeb8cc6-ef24-4194-8139-ffe155d1b87f,24,24,1.00,0.03,1,1,1,3,24,None (default),Repository TextAsset,60,Ammo/Ammo_545x39AP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Ammo_545x39AP.prefab,,,Ammo/Boxes/BoxAmmo_545x39AP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_545x39AP.prefab
5.45x39 B-II,32720498-5feb-4bee-9186-90dd08311206,36,36,1.00,0.013,2,1,2,30,24,None (default),Repository TextAsset,30,Ammo/Boxes/BoxAmmo_545x39AP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_545x39AP.prefab,,,Ammo/Boxes/BoxAmmo_545x39AP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_545x39AP.prefab
5.45x39 B-III,2da75073-af27-4924-a4c1-d27d2b834df7,46,46,1.00,0.014,2,1,2,30,24,None (default),Repository TextAsset,30,Ammo/Boxes/BoxAmmo_545x39AP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_545x39AP.prefab,,,Ammo/Boxes/BoxAmmo_545x39AP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_545x39AP.prefab
5.45x39 C-II,80c9682f-bf58-4176-a457-050e581c80a4,48,48,1.00,0.01,2,1,2,30,25,None (default),Repository TextAsset,30,Ammo/Boxes/BoxAmmo_545x39HP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_545x39HP.prefab,,,Ammo/Boxes/BoxAmmo_545x39HP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_545x39HP.prefab
